,Cr100,Cr100b,Cr10a,Cr10b,Cr20a,Cr20b,Cr40a,Cr40b,Cr60a,Cr60b,Cr80a,Cr80b,Am b,Am,Whey_a,Whey_b,W10a,W10b,W20a,W20b,W40a,W40b,W60a,W60b,W80a,W80b
4000,0.009417411,0.009467158,0.013509169,0.013629327,0.011542669,0.011864701,0.007580683,0.007814442,0.020289723,0.020429994,0.020250704,0.020353501,0.016623994,0.016239918,0.016672484,0.016776225,0.014338231,0.014760463,0.015732773,0.016019515,0.017407368,0.017678423,0.016307376,0.016431851,0.017105782,0.01738125
3998,0.009403306,0.009472377,0.013488879,0.013629582,0.011534605,0.011861677,0.007553945,0.007823153,0.020263974,0.020427663,0.020244456,0.020353617,0.016637002,0.016216667,0.016695579,0.016757702,0.01435001,0.014765024,0.015739814,0.016022733,0.017385214,0.017657659,0.016291188,0.016427584,0.017092139,0.017384536
3996,0.009389537,0.00948569,0.013460322,0.013622135,0.011518699,0.011859332,0.007537647,0.00784654,0.020242676,0.020426995,0.020237083,0.020356463,0.016638578,0.016205334,0.016714701,0.016739979,0.014359346,0.014773317,0.015740122,0.016019382,0.017367118,0.017626496,0.016279821,0.016426779,0.017082122,0.017395132
3994,0.009414875,0.009531766,0.013459505,0.013638497,0.011529061,0.011878504,0.007561366,0.00789646,0.020258527,0.020464318,0.020263533,0.020389674,0.016653,0.01623621,0.016728469,0.016740614,0.014378741,0.014795855,0.015752221,0.016028906,0.017384721,0.017622197,0.016299179,0.016451938,0.017102675,0.017424854
3992,0.009457259,0.009581246,0.013474451,0.013658185,0.011541263,0.011891015,0.007598325,0.007933019,0.020281518,0.020512838,0.020291733,0.02041866,0.016667825,0.01628095,0.01673402,0.0167572,0.014400794,0.014816871,0.015768749,0.016047526,0.017426907,0.017647216,0.016329162,0.016486766,0.017135364,0.017451765
3990,0.009487935,0.009607703,0.013487591,0.013667433,0.011537078,0.011883648,0.007632788,0.007938988,0.020290068,0.020543029,0.020294376,0.02042115,0.016671277,0.016311583,0.016727667,0.016776141,0.014412013,0.014822769,0.01577739,0.016065785,0.017466848,0.017681581,0.01634708,0.01651284,0.017158476,0.017465767
3988,0.009487835,0.00960144,0.013481305,0.0136601,0.011514747,0.011859181,0.0076546,0.007919158,0.020277292,0.020537505,0.020259386,0.020391862,0.016656778,0.016311755,0.016709066,0.016784628,0.014401692,0.014807035,0.015767712,0.0160688,0.017478109,0.017692469,0.016339594,0.016515151,0.017153518,0.017462662
3986,0.009464667,0.009578779,0.013457588,0.013644588,0.011492963,0.011834382,0.007660404,0.007893251,0.020255232,0.02050816,0.020205115,0.020347312,0.016633763,0.016289155,0.016692534,0.016784116,0.014378558,0.014775596,0.015746043,0.016057466,0.017457456,0.017670207,0.016312003,0.016496487,0.017124202,0.01744711
3984,0.009435177,0.009555246,0.013427455,0.013626426,0.011481531,0.011816203,0.007646789,0.007872768,0.020232412,0.020473481,0.020156846,0.020303472,0.016614726,0.016259884,0.016697699,0.016783873,0.014360736,0.014740733,0.01572653,0.016048035,0.017420627,0.017635612,0.016277778,0.016471677,0.017089143,0.017424566
3982,0.009425485,0.009546376,0.013415232,0.013618925,0.01148954,0.01181629,0.007637272,0.007875591,0.020226768,0.020459156,0.020146259,0.02028803,0.016619306,0.016249599,0.016732624,0.016794508,0.014363712,0.014725503,0.015726516,0.016062755,0.017397719,0.017628864,0.016262493,0.016468232,0.017079581,0.017414323
3980,0.009458399,0.009569045,0.013443928,0.013641161,0.011527689,0.011853493,0.007670418,0.007920723,0.020260508,0.020488283,0.020195611,0.020332042,0.01666301,0.016278782,0.016786828,0.016821466,0.014391174,0.014752284,0.015756314,0.016108715,0.017413128,0.017673306,0.016289508,0.016505928,0.017119706,0.017439567
3978,0.009517311,0.009615577,0.013497538,0.013683404,0.011577687,0.011916247,0.007742391,0.007987858,0.020318752,0.02054423,0.020277449,0.020419869,0.016726639,0.016328708,0.016837771,0.016856772,0.014426353,0.014810657,0.015800526,0.016160839,0.017454849,0.017739679,0.016347308,0.016564275,0.017188799,0.017486613
3976,0.009550047,0.009647053,0.013524259,0.013706306,0.011592074,0.011955868,0.00779897,0.008022158,0.020348576,0.020572882,0.020323215,0.020484362,0.01676322,0.016350074,0.016864956,0.016882505,0.014439517,0.014854628,0.015824914,0.016181201,0.01748007,0.017766644,0.01639253,0.016592976,0.017230635,0.017505043
3974,0.009535164,0.009639303,0.013503362,0.013698016,0.011558098,0.011948997,0.007808964,0.008007563,0.020328711,0.020549642,0.020302434,0.020485519,0.016755448,0.016325311,0.016861676,0.016889837,0.01441774,0.014852158,0.01581638,0.016162408,0.0174667,0.017730626,0.016400648,0.016571242,0.017220952,0.01747285
3972,0.009507168,0.009607577,0.013470528,0.013687283,0.01151797,0.011925492,0.007794088,0.007985637,0.02029266,0.020504217,0.020250967,0.020448114,0.016730102,0.016285104,0.016835023,0.016885193,0.014379132,0.014819214,0.015795882,0.016129286,0.017436826,0.017669524,0.016383437,0.016526585,0.017190642,0.017425397
3970,0.009499713,0.009573703,0.013460776,0.013685627,0.011503375,0.01191545,0.007773763,0.007985966,0.020267119,0.020467033,0.020208432,0.020405347,0.016708624,0.016254517,0.016800636,0.016875235,0.014351582,0.014791091,0.015785128,0.016099294,0.017421466,0.017631863,0.016353606,0.016489821,0.017171139,0.017403827
3968,0.009513503,0.009551186,0.013474342,0.013676025,0.01150497,0.011921283,0.007746335,0.007999459,0.020248746,0.020448216,0.020187817,0.020370815,0.016694398,0.016233965,0.016781545,0.016861813,0.014350837,0.0147848,0.015790279,0.016075837,0.017433163,0.017638783,0.016316838,0.016471756,0.017166464,0.017418332
3966,0.00954118,0.009556559,0.013499258,0.013656829,0.011511573,0.011941332,0.00772349,0.008017907,0.020239603,0.02046033,0.020196992,0.020362941,0.016703721,0.01622805,0.016794774,0.016850933,0.01437384,0.014795284,0.015813573,0.016068859,0.017469432,0.017686591,0.016294552,0.016477317,0.017175173,0.017460005
3964,0.009575688,0.009589695,0.013521856,0.013640091,0.011525997,0.011969749,0.007721362,0.008041088,0.020246492,0.020502175,0.020228637,0.020391644,0.016755049,0.016241387,0.016827594,0.016850614,0.014397094,0.014806557,0.015847738,0.016082832,0.017512484,0.017745674,0.01630903,0.016500785,0.01718964,0.01750559
3962,0.009599843,0.009617003,0.013520859,0.013623213,0.011541724,0.011982881,0.007724518,0.008053379,0.020253405,0.02053723,0.020247681,0.020429964,0.016827834,0.016255583,0.016845068,0.016859618,0.01439426,0.014806895,0.015869247,0.01610053,0.017532293,0.017770953,0.016346321,0.016514876,0.017190898,0.017523234
3960,0.009591589,0.009600932,0.013479701,0.013593952,0.011533358,0.011954729,0.007697904,0.008028789,0.020229474,0.020524116,0.020222913,0.020431813,0.016865653,0.016241262,0.016829964,0.016865335,0.014363914,0.014798643,0.015858613,0.016101728,0.017507536,0.017740274,0.016360472,0.016491138,0.01716816,0.017497638
3958,0.009545016,0.009544246,0.013413289,0.013556237,0.011486179,0.011890714,0.007639623,0.007968198,0.020171781,0.020467307,0.020165962,0.020382614,0.016836549,0.016196198,0.016801656,0.016856385,0.014330912,0.014792166,0.015824408,0.016087056,0.017447874,0.01767887,0.016325961,0.016435047,0.017132395,0.017445683
3956,0.009487935,0.009498583,0.013370825,0.013543286,0.011430551,0.011841035,0.007596607,0.007918999,0.020126349,0.020426876,0.02013118,0.020327957,0.016775033,0.016162218,0.01679199,0.016837075,0.014323466,0.014796509,0.015800428,0.016077752,0.017394389,0.017640832,0.016271965,0.016388083,0.017115818,0.017406596
3954,0.009463491,0.00951584,0.013390851,0.013586019,0.011420418,0.011859038,0.007608919,0.007931837,0.020142978,0.020460043,0.020163935,0.020330458,0.016741156,0.016185822,0.016809606,0.016823009,0.014350586,0.014812224,0.015811973,0.016092642,0.017385688,0.01766104,0.016247443,0.016384935,0.017147454,0.017408612
3952,0.009482795,0.009586259,0.013448244,0.01366157,0.011468109,0.011935871,0.007650773,0.007993838,0.020206869,0.02055033,0.02024178,0.020391227,0.016746006,0.01625938,0.016831413,0.016821645,0.014394387,0.014826933,0.015845777,0.016126328,0.017415929,0.017721796,0.016260688,0.01641345,0.01721514,0.017437311
3950,0.009514846,0.009648168,0.013474999,0.013709083,0.011529684,0.012005139,0.007661584,0.008039125,0.020249806,0.020625135,0.020294108,0.020446984,0.016749011,0.016327837,0.016830309,0.01682581,0.014428671,0.014829131,0.015868208,0.016160376,0.017442085,0.017777183,0.016278177,0.016434505,0.017274907,0.017453948
3948,0.009520504,0.009653377,0.013435487,0.013691326,0.011555219,0.012013203,0.007624125,0.008024049,0.020229063,0.02063269,0.020275739,0.020440197,0.016720167,0.016347308,0.016801974,0.01682525,0.01443957,0.014821198,0.015861437,0.01618023,0.017433854,0.017795658,0.016274976,0.016430133,0.017288892,0.017436656
3946,0.009477781,0.00959578,0.01334523,0.013611903,0.011518295,0.011954782,0.007563441,0.0079535,0.020154319,0.020566209,0.02019078,0.02035688,0.016662376,0.016309493,0.016760694,0.016815385,0.01442422,0.014807513,0.015825668,0.01617176,0.017396276,0.017765408,0.01625082,0.016403824,0.017242613,0.017385923
3944,0.009407349,0.009511711,0.013248954,0.013512241,0.011431664,0.011872597,0.007512148,0.007868293,0.020071597,0.02046144,0.020089316,0.020237142,0.016598471,0.016241422,0.016723957,0.016801228,0.014392806,0.014791208,0.015776822,0.016136755,0.017357345,0.017698172,0.016218127,0.016366092,0.017163855,0.017326102
3942,0.009373529,0.009465549,0.013201363,0.013459015,0.011355752,0.011833789,0.00750532,0.007826421,0.020039468,0.020391698,0.020047966,0.020162383,0.016561823,0.016195608,0.016703354,0.016794827,0.014372268,0.014785729,0.015750286,0.016110734,0.017343476,0.017638315,0.016197328,0.016338939,0.017119804,0.017303658
3940,0.009407646,0.009484346,0.013222334,0.013472732,0.011340632,0.01185773,0.007552171,0.007848128,0.020070143,0.020399745,0.020086118,0.020170827,0.016565858,0.016196631,0.016696696,0.016798948,0.014376975,0.01480025,0.015765973,0.016117962,0.01735072,0.01762023,0.016199125,0.016336753,0.017137599,0.017332516
3938,0.009466449,0.009531283,0.013277933,0.013505954,0.011375973,0.01189758,0.007618221,0.007898584,0.020115792,0.020456498,0.020139974,0.020221395,0.016588784,0.01621897,0.016699083,0.016803404,0.014391165,0.014826646,0.01580292,0.016136809,0.017356494,0.017634687,0.016214138,0.016347742,0.017174305,0.017373342
3936,0.00949452,0.009563913,0.013324104,0.013518963,0.011422546,0.011913782,0.007665593,0.007942646,0.020135262,0.020513212,0.020151499,0.020265821,0.016604926,0.016234045,0.016721268,0.016802693,0.014394277,0.014854344,0.01582835,0.016138566,0.017358777,0.017658709,0.016229887,0.016354224,0.017188931,0.017392558
3934,0.009473301,0.009565973,0.013331845,0.013513208,0.011440628,0.01190525,0.007671575,0.007964075,0.020119594,0.020534862,0.020113888,0.020283248,0.016599192,0.016230793,0.016772445,0.016800265,0.014379286,0.014873837,0.015826571,0.016119176,0.017365716,0.017678006,0.016230533,0.016345248,0.017179931,0.017389761
3932,0.009399406,0.009520062,0.013274831,0.013482268,0.01138637,0.011860918,0.007607145,0.00792938,0.020052359,0.020483357,0.020025059,0.020239397,0.016552871,0.016186273,0.016824388,0.016791944,0.014343902,0.014863692,0.015793982,0.016079838,0.017350986,0.017671274,0.016183371,0.016304788,0.017143455,0.017359199
3930,0.00928413,0.009422287,0.013159778,0.013413275,0.011257415,0.01176772,0.00747084,0.007822813,0.019932274,0.020359232,0.01989228,0.02011826,0.016472193,0.016087722,0.016832899,0.016768386,0.014293904,0.014812664,0.015738058,0.016019634,0.017284813,0.017626116,0.016078609,0.016232714,0.017071295,0.017292847
3928,0.009178109,0.009320737,0.013052571,0.013341644,0.011128335,0.011664909,0.007329561,0.007707376,0.019822657,0.020240838,0.019775748,0.019986347,0.016410274,0.015981171,0.016794272,0.016734722,0.014253072,0.014750039,0.015684461,0.015957338,0.017198198,0.017570884,0.01596763,0.016169179,0.016997709,0.017219599
3926,0.009139427,0.00928032,0.013022528,0.013328315,0.011086381,0.011617397,0.007268224,0.00767267,0.019803371,0.0202103,0.019747034,0.019937587,0.016412777,0.015935998,0.016743784,0.016707358,0.014242101,0.014718492,0.015659712,0.015923732,0.017153911,0.017546524,0.01591826,0.016159969,0.016975501,0.017182104
3924,0.009181364,0.009321358,0.013082827,0.013389555,0.011155635,0.011651257,0.007317077,0.007745769,0.019890936,0.020274851,0.019819698,0.019998685,0.016469969,0.015976221,0.016709628,0.016695956,0.014255895,0.014728804,0.015671523,0.015929782,0.017175456,0.017560743,0.015954468,0.016213673,0.017013902,0.017189936
3922,0.009270638,0.009412886,0.013195562,0.013484937,0.011294136,0.011742227,0.007440272,0.007881432,0.020030944,0.020384022,0.019949336,0.020121762,0.016538853,0.016071589,0.0166932,0.01669956,0.014276136,0.014758881,0.015712562,0.015959701,0.017236988,0.017590232,0.016051326,0.01630396,0.017077552,0.017223243
3920,0.009355725,0.009499106,0.01329989,0.013552702,0.011426203,0.011835034,0.00756362,0.008002563,0.020140569,0.020475021,0.020067144,0.020229744,0.016580418,0.016166972,0.016684193,0.016712738,0.01429172,0.014781002,0.015763265,0.015985916,0.017296874,0.017606137,0.016156369,0.016388226,0.017121244,0.017254865
3918,0.009400453,0.009536398,0.01334136,0.013558939,0.011484942,0.011875341,0.007619118,0.00804652,0.020162106,0.020502077,0.02011629,0.020266956,0.016573873,0.016217546,0.016681067,0.016730555,0.014302967,0.014785143,0.015796492,0.015993522,0.017324878,0.017597092,0.016213247,0.016425451,0.017124273,0.01726381
3916,0.009411216,0.009529264,0.013312521,0.013530565,0.011462295,0.01185698,0.00759486,0.008008395,0.020104882,0.020467506,0.020094149,0.020241738,0.016526327,0.016220698,0.016693493,0.016750758,0.014317452,0.014784957,0.015802191,0.015996999,0.017316168,0.017582117,0.016198606,0.016403953,0.017113023,0.017251487
3914,0.009400603,0.009495191,0.01323844,0.013496666,0.01138509,0.01180211,0.007511492,0.007915956,0.020001928,0.020391522,0.020020309,0.020183326,0.016450845,0.016191322,0.016717718,0.016765433,0.014330724,0.014788147,0.015786183,0.016004526,0.017275573,0.017573258,0.016125883,0.016336561,0.017111557,0.017219338
3912,0.009355158,0.00942548,0.013136803,0.013440302,0.011266862,0.011717934,0.007380383,0.007787538,0.019860911,0.02027451,0.019893525,0.020091597,0.016347847,0.016131714,0.016727747,0.016760138,0.014323341,0.014780112,0.015753194,0.015995126,0.017204294,0.017549107,0.016019978,0.016239914,0.017099939,0.017152522
3910,0.00927398,0.009324389,0.013023223,0.01335613,0.011124412,0.011617419,0.007224557,0.007646998,0.019695154,0.020132465,0.019729315,0.019975894,0.016229046,0.016056407,0.016707617,0.0167303,0.014291695,0.014753183,0.01571713,0.015965186,0.017115994,0.017499004,0.015909017,0.016138235,0.01706699,0.017058776
3908,0.009205433,0.009250468,0.012944309,0.013295168,0.011019025,0.011554839,0.007120528,0.007559444,0.019571361,0.020033164,0.01960282,0.019900828,0.016148198,0.016013792,0.016674762,0.016693393,0.014262392,0.014728584,0.015706316,0.015953451,0.017051566,0.017458217,0.015837605,0.016077336,0.017045459,0.01699067
3906,0.009192635,0.009258084,0.01294792,0.013286153,0.011012854,0.011573292,0.007147142,0.007589031,0.019556946,0.020026256,0.019579325,0.019917705,0.016159731,0.016031431,0.016657989,0.016674622,0.014256577,0.014725175,0.015722828,0.015973426,0.01704843,0.017457147,0.015843957,0.016090477,0.017042258,0.016982313
3904,0.009229635,0.00934206,0.013020856,0.013313527,0.011096036,0.01165216,0.007283558,0.007728814,0.019636061,0.020089178,0.019651256,0.020004795,0.016244769,0.016086383,0.016672154,0.016685444,0.014280622,0.014742956,0.015748053,0.01599355,0.017107423,0.017490927,0.015913652,0.016152678,0.0170578,0.017022882
3902,0.009263176,0.00943349,0.013076708,0.01335182,0.011177634,0.011708458,0.007402631,0.007860379,0.019705524,0.020142649,0.019743564,0.020075015,0.016305149,0.016119525,0.016696261,0.016706113,0.014324819,0.014761469,0.015770129,0.015991719,0.017170238,0.017523699,0.015969494,0.01618615,0.017103358,0.017076961
3900,0.009275624,0.009489241,0.013088995,0.013401046,0.011220625,0.011723345,0.007456062,0.007912633,0.019736515,0.020175804,0.019824714,0.020111576,0.016314616,0.016117314,0.016703406,0.01671526,0.014364791,0.014767477,0.015788115,0.015986797,0.017195418,0.017539457,0.015981983,0.016174638,0.017164357,0.017134742
3898,0.00929475,0.009514193,0.013104895,0.013456603,0.011255974,0.011743492,0.007488041,0.00793315,0.019775214,0.020223193,0.019895454,0.020158823,0.016326326,0.016111329,0.016692047,0.016716441,0.014379345,0.014768068,0.015797193,0.015990599,0.017199866,0.017547481,0.015990824,0.016171832,0.01720503,0.017189536
3896,0.009342567,0.009526685,0.013157467,0.0135055,0.011308722,0.011792154,0.007535876,0.007977473,0.019843549,0.020284386,0.019950337,0.020229926,0.016365998,0.016120872,0.016672019,0.01672319,0.014369735,0.014774469,0.015794558,0.015998178,0.017210667,0.017553549,0.016026504,0.016211685,0.0172137,0.017225676
3894,0.009410792,0.009539945,0.013231314,0.01354084,0.011366233,0.011856748,0.00759873,0.008045601,0.01991711,0.020336976,0.019988659,0.020300223,0.016413741,0.016139054,0.016659797,0.016742202,0.014356666,0.014791221,0.015785787,0.016005042,0.017240936,0.017560755,0.016079014,0.01627231,0.017212072,0.017244359
3892,0.0094732,0.009560903,0.013275606,0.013575403,0.011393496,0.01191103,0.007645194,0.008098281,0.019950355,0.020368814,0.020017448,0.020341531,0.016433176,0.016149533,0.016668593,0.016764933,0.014365095,0.014817237,0.015788081,0.016015457,0.017281055,0.017576045,0.016108494,0.016298531,0.017240096,0.017265424
3890,0.009470564,0.009548802,0.01322414,0.013572064,0.011346702,0.011891471,0.007621216,0.008062227,0.019887691,0.02033406,0.019992448,0.020296256,0.016383997,0.016104402,0.016676606,0.016761029,0.01437652,0.014822858,0.015787374,0.016002072,0.017275016,0.017564173,0.016066366,0.016236493,0.017250261,0.017259787
3888,0.009386495,0.009479663,0.013074735,0.013505686,0.011238607,0.011782147,0.007516318,0.007926268,0.019738994,0.020224028,0.019888626,0.020163079,0.016278137,0.01599824,0.016669877,0.01671642,0.014364614,0.014795006,0.015770656,0.015955003,0.017198083,0.017508769,0.015960263,0.016103636,0.017201426,0.017206192
3886,0.00926463,0.009375656,0.012902721,0.013387816,0.011126722,0.011636769,0.007382278,0.007761575,0.019577412,0.020078115,0.019732451,0.019999537,0.016175226,0.015881815,0.016660163,0.016654238,0.014326866,0.014753423,0.015744193,0.015894786,0.017096625,0.017432838,0.015853392,0.015979934,0.017108072,0.017123749
3884,0.009141937,0.00926145,0.012763627,0.013234545,0.011024579,0.011495874,0.007255085,0.007620882,0.0194405,0.019915898,0.019548859,0.019831622,0.016095644,0.015788248,0.016656072,0.016603137,0.014275146,0.014714111,0.015713467,0.015835158,0.017019815,0.017354185,0.015776196,0.015912131,0.016993906,0.01702712
3882,0.009051659,0.00917719,0.012669185,0.013107778,0.010928318,0.011386324,0.007154303,0.007520241,0.019336491,0.019771649,0.019392902,0.019685117,0.016025574,0.015731879,0.016658822,0.01657277,0.014240875,0.014686258,0.015697353,0.015804258,0.016980392,0.017299197,0.015718949,0.015893114,0.016908551,0.016939026
3880,0.009039626,0.009178416,0.012642194,0.013090713,0.01088931,0.011358355,0.007134077,0.007490618,0.019307815,0.019722772,0.019360467,0.019635166,0.015990617,0.01573976,0.016675307,0.016561747,0.014255166,0.014682827,0.015722416,0.015836082,0.016980866,0.017308784,0.01569925,0.015916875,0.016901018,0.016904747
3878,0.009102375,0.009260266,0.012690391,0.013173878,0.010940631,0.011422507,0.007212196,0.00753736,0.01936844,0.019781891,0.019462302,0.019704727,0.016019583,0.015810628,0.016710726,0.016567286,0.014309451,0.014705324,0.015780724,0.015913658,0.017016731,0.017382213,0.015740948,0.015975475,0.016949558,0.016931617
3876,0.009204533,0.00938327,0.012802982,0.013299671,0.011066179,0.011551627,0.007353289,0.007640659,0.019494038,0.019902001,0.019636396,0.019854981,0.016112327,0.01592042,0.016769767,0.01659563,0.014378966,0.014759009,0.015849259,0.015997093,0.017085369,0.017488511,0.015841052,0.016056374,0.017017486,0.017003355
3874,0.009330252,0.009527342,0.01297212,0.013446002,0.011237846,0.011722667,0.007517974,0.007792868,0.0196669,0.020053132,0.019838342,0.020050229,0.016253013,0.016048531,0.016852471,0.016654406,0.01444897,0.014859342,0.015916579,0.016069795,0.017187156,0.0176012,0.015976255,0.016154258,0.017109616,0.017117557
3872,0.009464566,0.009662135,0.013148918,0.013603487,0.011400011,0.011889621,0.007649671,0.007963753,0.019842768,0.020209365,0.020029212,0.020247044,0.016386065,0.016161039,0.016934104,0.016721049,0.01450262,0.014992075,0.015971012,0.016132873,0.017290726,0.017692932,0.016093001,0.016245053,0.017243221,0.017254421
3870,0.009597336,0.009758119,0.013282697,0.013756885,0.011520396,0.012017827,0.00773441,0.008118591,0.019984792,0.020355615,0.02019127,0.020420438,0.016468995,0.016241147,0.016972891,0.016755808,0.014527037,0.015106674,0.016007773,0.016200342,0.017357652,0.017752953,0.016159763,0.016309906,0.017405898,0.017380958
3868,0.009702432,0.009794401,0.013358564,0.013855408,0.011597143,0.012099486,0.007800682,0.008227618,0.020077399,0.020461474,0.020300533,0.020543972,0.016506611,0.016284465,0.016949312,0.01674611,0.014517009,0.015151189,0.016017192,0.016258345,0.017378018,0.017776331,0.016186365,0.016345197,0.017516462,0.017454618
