,Cr100,Cr100b,Cr10a,Cr10b,Cr20a,Cr20b,Cr40a,Cr40b,Cr60a,Cr60b,Cr80a,Cr80b,Amb,Ama
4000,0.009417411,0.009467158,0.013509169,0.013629327,0.011542669,0.011864701,0.007580683,0.007814442,0.020289723,0.020429994,0.020250704,0.020353501,0.016623994,0.016239918
3998,0.009403306,0.009472377,0.013488879,0.013629582,0.011534605,0.011861677,0.007553945,0.007823153,0.020263974,0.020427663,0.020244456,0.020353617,0.016637002,0.016216667
3996,0.009389537,0.00948569,0.013460322,0.013622135,0.011518699,0.011859332,0.007537647,0.00784654,0.020242676,0.020426995,0.020237083,0.020356463,0.016638578,0.016205334
3994,0.009414875,0.009531766,0.013459505,0.013638497,0.011529061,0.011878504,0.007561366,0.00789646,0.020258527,0.020464318,0.020263533,0.020389674,0.016653,0.01623621
3992,0.009457259,0.009581246,0.013474451,0.013658185,0.011541263,0.011891015,0.007598325,0.007933019,0.020281518,0.020512838,0.020291733,0.02041866,0.016667825,0.01628095
3990,0.009487935,0.009607703,0.013487591,0.013667433,0.011537078,0.011883648,0.007632788,0.007938988,0.020290068,0.020543029,0.020294376,0.02042115,0.016671277,0.016311583
3988,0.009487835,0.00960144,0.013481305,0.0136601,0.011514747,0.011859181,0.0076546,0.007919158,0.020277292,0.020537505,0.020259386,0.020391862,0.016656778,0.016311755
3986,0.009464667,0.009578779,0.013457588,0.013644588,0.011492963,0.011834382,0.007660404,0.007893251,0.020255232,0.02050816,0.020205115,0.020347312,0.016633763,0.016289155
3984,0.009435177,0.009555246,0.013427455,0.013626426,0.011481531,0.011816203,0.007646789,0.007872768,0.020232412,0.020473481,0.020156846,0.020303472,0.016614726,0.016259884
3982,0.009425485,0.009546376,0.013415232,0.013618925,0.01148954,0.01181629,0.007637272,0.007875591,0.020226768,0.020459156,0.020146259,0.02028803,0.016619306,0.016249599
3980,0.009458399,0.009569045,0.013443928,0.013641161,0.011527689,0.011853493,0.007670418,0.007920723,0.020260508,0.020488283,0.020195611,0.020332042,0.01666301,0.016278782
3978,0.009517311,0.009615577,0.013497538,0.013683404,0.011577687,0.011916247,0.007742391,0.007987858,0.020318752,0.02054423,0.020277449,0.020419869,0.016726639,0.016328708
