,Whey_a,Whey_b,W10a,W10b,W20a,W20b,W40a,W40b,W60a,W60b,W80a,W80b,Amb,Ama
4000,0.016672484,0.016776225,0.014338231,0.014760463,0.015732773,0.016019515,0.017407368,0.017678423,0.016307376,0.016431851,0.017105782,0.01738125,0.016623994,0.016239918
3998,0.016695579,0.016757702,0.01435001,0.014765024,0.015739814,0.016022733,0.017385214,0.017657659,0.016291188,0.016427584,0.017092139,0.017384536,0.016637002,0.016216667
3996,0.016714701,0.016739979,0.014359346,0.014773317,0.015740122,0.016019382,0.017367118,0.017626496,0.016279821,0.016426779,0.017082122,0.017395132,0.016638578,0.016205334
3994,0.016728469,0.016740614,0.014378741,0.014795855,0.015752221,0.016028906,0.017384721,0.017622197,0.016299179,0.016451938,0.017102675,0.017424854,0.016653,0.01623621
3992,0.01673402,0.0167572,0.014400794,0.014816871,0.015768749,0.016047526,0.017426907,0.017647216,0.016329162,0.016486766,0.017135364,0.017451765,0.016667825,0.01628095
3990,0.016727667,0.016776141,0.014412013,0.014822769,0.01577739,0.016065785,0.017466848,0.017681581,0.01634708,0.01651284,0.017158476,0.017465767,0.016671277,0.016311583
3988,0.016709066,0.016784628,0.014401692,0.014807035,0.015767712,0.0160688,0.017478109,0.017692469,0.016339594,0.016515151,0.017153518,0.017462662,0.016656778,0.016311755
3986,0.016692534,0.016784116,0.014378558,0.014775596,0.015746043,0.016057466,0.017457456,0.017670207,0.016312003,0.016496487,0.017124202,0.01744711,0.016633763,0.016289155
3984,0.016697699,0.016783873,0.014360736,0.014740733,0.01572653,0.016048035,0.017420627,0.017635612,0.016277778,0.016471677,0.017089143,0.017424566,0.016614726,0.016259884
3982,0.016732624,0.016794508,0.014363712,0.014725503,0.015726516,0.016062755,0.017397719,0.017628864,0.016262493,0.016468232,0.017079581,0.017414323,0.016619306,0.016249599
3980,0.016786828,0.016821466,0.014391174,0.014752284,0.015756314,0.016108715,0.017413128,0.017673306,0.016289508,0.016505928,0.017119706,0.017439567,0.01666301,0.016278782
3978,0.016837771,0.016856772,0.014426353,0.014810657,0.015800526,0.016160839,0.017454849,0.017739679,0.016347308,0.016564275,0.017188799,0.017486613,0.016726639,0.016328708
3976,0.016864956,0.016882505,0.014439517,0.014854628,0.015824914,0.016181201,0.01748007,0.017766644,0.01639253,0.016592976,0.017230635,0.017505043,0.01676322,0.016350074
3974,0.016861676,0.016889837,0.01441774,0.014852158,0.01581638,0.016162408,0.0174667,0.017730626,0.016400648,0.016571242,0.017220952,0.01747285,0.016755448,0.016325311
3972,0.016835023,0.016885193,0.014379132,0.014819214,0.015795882,0.016129286,0.017436826,0.017669524,0.016383437,0.016526585,0.017190642,0.017425397,0.016730102,0.016285104
3970,0.016800636,0.016875235,0.014351582,0.014791091,0.015785128,0.016099294,0.017421466,0.017631863,0.016353606,0.016489821,0.017171139,0.017403827,0.016708624,0.016254517
3968,0.016781545,0.016861813,0.014350837,0.0147848,0.015790279,0.016075837,0.017433163,0.017638783,0.016316838,0.016471756,0.017166464,0.017418332,0.016694398,0.016233965
3966,0.016794774,0.016850933,0.01437384,0.014795284,0.015813573,0.016068859,0.017469432,0.017686591,0.016294552,0.016477317,0.017175173,0.017460005,0.016703721,0.01622805
3964,0.016827594,0.016850614,0.014397094,0.014806557,0.015847738,0.016082832,0.017512484,0.017745674,0.01630903,0.016500785,0.01718964,0.01750559,0.016755049,0.016241387
3962,0.016845068,0.016859618,0.01439426,0.014806895,0.015869247,0.01610053,0.017532293,0.017770953,0.016346321,0.016514876,0.017190898,0.017523234,0.016827834,0.016255583
3960,0.016829964,0.016865335,0.014363914,0.014798643,0.015858613,0.016101728,0.017507536,0.017740274,0.016360472,0.016491138,0.01716816,0.017497638,0.016865653,0.016241262
3958,0.016801656,0.016856385,0.014330912,0.014792166,0.015824408,0.016087056,0.017447874,0.01767887,0.016325961,0.016435047,0.017132395,0.017445683,0.016836549,0.016196198
3956,0.01679199,0.016837075,0.014323466,0.014796509,0.015800428,0.016077752,0.017394389,0.017640832,0.016271965,0.016388083,0.017115818,0.017406596,0.016775033,0.016162218
3954,0.016809606,0.016823009,0.014350586,0.014812224,0.015811973,0.016092642,0.017385688,0.01766104,0.016247443,0.016384935,0.017147454,0.017408612,0.016741156,0.016185822
3952,0.016831413,0.016821645,0.014394387,0.014826933,0.015845777,0.016126328,0.017415929,0.017721796,0.016260688,0.01641345,0.01721514,0.017437311,0.016746006,0.01625938
3950,0.016830309,0.01682581,0.014428671,0.014829131,0.015868208,0.016160376,0.017442085,0.017777183,0.016278177,0.016434505,0.017274907,0.017453948,0.016749011,0.016327837
3948,0.016801974,0.01682525,0.01443957,0.014821198,0.015861437,0.01618023,0.017433854,0.017795658,0.016274976,0.016430133,0.017288892,0.017436656,0.016720167,0.016347308
3946,0.016760694,0.016815385,0.01442422,0.014807513,0.015825668,0.01617176,0.017396276,0.017765408,0.01625082,0.016403824,0.017242613,0.017385923,0.016662376,0.016309493
3944,0.016723957,0.016801228,0.014392806,0.014791208,0.015776822,0.016136755,0.017357345,0.017698172,0.016218127,0.016366092,0.017163855,0.017326102,0.016598471,0.016241422
3942,0.016703354,0.016794827,0.014372268,0.014785729,0.015750286,0.016110734,0.017343476,0.017638315,0.016197328,0.016338939,0.017119804,0.017303658,0.016561823,0.016195608
3940,0.016696696,0.016798948,0.014376975,0.01480025,0.015765973,0.016117962,0.01735072,0.01762023,0.016199125,0.016336753,0.017137599,0.017332516,0.016565858,0.016196631
3938,0.016699083,0.016803404,0.014391165,0.014826646,0.01580292,0.016136809,0.017356494,0.017634687,0.016214138,0.016347742,0.017174305,0.017373342,0.016588784,0.01621897
3936,0.016721268,0.016802693,0.014394277,0.014854344,0.01582835,0.016138566,0.017358777,0.017658709,0.016229887,0.016354224,0.017188931,0.017392558,0.016604926,0.016234045
3934,0.016772445,0.016800265,0.014379286,0.014873837,0.015826571,0.016119176,0.017365716,0.017678006,0.016230533,0.016345248,0.017179931,0.017389761,0.016599192,0.016230793
3932,0.016824388,0.016791944,0.014343902,0.014863692,0.015793982,0.016079838,0.017350986,0.017671274,0.016183371,0.016304788,0.017143455,0.017359199,0.016552871,0.016186273
3930,0.016832899,0.016768386,0.014293904,0.014812664,0.015738058,0.016019634,0.017284813,0.017626116,0.016078609,0.016232714,0.017071295,0.017292847,0.016472193,0.016087722
3928,0.016794272,0.016734722,0.014253072,0.014750039,0.015684461,0.015957338,0.017198198,0.017570884,0.01596763,0.016169179,0.016997709,0.017219599,0.016410274,0.015981171
3926,0.016743784,0.016707358,0.014242101,0.014718492,0.015659712,0.015923732,0.017153911,0.017546524,0.01591826,0.016159969,0.016975501,0.017182104,0.016412777,0.015935998
3924,0.016709628,0.016695956,0.014255895,0.014728804,0.015671523,0.015929782,0.017175456,0.017560743,0.015954468,0.016213673,0.017013902,0.017189936,0.016469969,0.015976221
3922,0.0166932,0.01669956,0.014276136,0.014758881,0.015712562,0.015959701,0.017236988,0.017590232,0.016051326,0.01630396,0.017077552,0.017223243,0.016538853,0.016071589
3920,0.016684193,0.016712738,0.01429172,0.014781002,0.015763265,0.015985916,0.017296874,0.017606137,0.016156369,0.016388226,0.017121244,0.017254865,0.016580418,0.016166972
3918,0.016681067,0.016730555,0.014302967,0.014785143,0.015796492,0.015993522,0.017324878,0.017597092,0.016213247,0.016425451,0.017124273,0.01726381,0.016573873,0.016217546
3916,0.016693493,0.016750758,0.014317452,0.014784957,0.015802191,0.015996999,0.017316168,0.017582117,0.016198606,0.016403953,0.017113023,0.017251487,0.016526327,0.016220698
3914,0.016717718,0.016765433,0.014330724,0.014788147,0.015786183,0.016004526,0.017275573,0.017573258,0.016125883,0.016336561,0.017111557,0.017219338,0.016450845,0.016191322
3912,0.016727747,0.016760138,0.014323341,0.014780112,0.015753194,0.015995126,0.017204294,0.017549107,0.016019978,0.016239914,0.017099939,0.017152522,0.016347847,0.016131714
3910,0.016707617,0.0167303,0.014291695,0.014753183,0.01571713,0.015965186,0.017115994,0.017499004,0.015909017,0.016138235,0.01706699,0.017058776,0.016229046,0.016056407
3908,0.016674762,0.016693393,0.014262392,0.014728584,0.015706316,0.015953451,0.017051566,0.017458217,0.015837605,0.016077336,0.017045459,0.01699067,0.016148198,0.016013792
3906,0.016657989,0.016674622,0.014256577,0.014725175,0.015722828,0.015973426,0.01704843,0.017457147,0.015843957,0.016090477,0.017042258,0.016982313,0.016159731,0.016031431
3904,0.016672154,0.016685444,0.014280622,0.014742956,0.015748053,0.01599355,0.017107423,0.017490927,0.015913652,0.016152678,0.0170578,0.017022882,0.016244769,0.016086383
3902,0.016696261,0.016706113,0.014324819,0.014761469,0.015770129,0.015991719,0.017170238,0.017523699,0.015969494,0.01618615,0.017103358,0.017076961,0.016305149,0.016119525
3900,0.016703406,0.01671526,0.014364791,0.014767477,0.015788115,0.015986797,0.017195418,0.017539457,0.015981983,0.016174638,0.017164357,0.017134742,0.016314616,0.016117314
3898,0.016692047,0.016716441,0.014379345,0.014768068,0.015797193,0.015990599,0.017199866,0.017547481,0.015990824,0.016171832,0.01720503,0.017189536,0.016326326,0.016111329
3896,0.016672019,0.01672319,0.014369735,0.014774469,0.015794558,0.015998178,0.017210667,0.017553549,0.016026504,0.016211685,0.0172137,0.017225676,0.016365998,0.016120872
3894,0.016659797,0.016742202,0.014356666,0.014791221,0.015785787,0.016005042,0.017240936,0.017560755,0.016079014,0.01627231,0.017212072,0.017244359,0.016413741,0.016139054
3892,0.016668593,0.016764933,0.014365095,0.014817237,0.015788081,0.016015457,0.017281055,0.017576045,0.016108494,0.016298531,0.017240096,0.017265424,0.016433176,0.016149533
3890,0.016676606,0.016761029,0.01437652,0.014822858,0.015787374,0.016002072,0.017275016,0.017564173,0.016066366,0.016236493,0.017250261,0.017259787,0.016383997,0.016104402
3888,0.016669877,0.01671642,0.014364614,0.014795006,0.015770656,0.015955003,0.017198083,0.017508769,0.015960263,0.016103636,0.017201426,0.017206192,0.016278137,0.01599824
3886,0.016660163,0.016654238,0.014326866,0.014753423,0.015744193,0.015894786,0.017096625,0.017432838,0.015853392,0.015979934,0.017108072,0.017123749,0.016175226,0.015881815
3884,0.016656072,0.016603137,0.014275146,0.014714111,0.015713467,0.015835158,0.017019815,0.017354185,0.015776196,0.015912131,0.016993906,0.01702712,0.016095644,0.015788248
3882,0.016658822,0.01657277,0.014240875,0.014686258,0.015697353,0.015804258,0.016980392,0.017299197,0.015718949,0.015893114,0.016908551,0.016939026,0.016025574,0.015731879
3880,0.016675307,0.016561747,0.014255166,0.014682827,0.015722416,0.015836082,0.016980866,0.017308784,0.01569925,0.015916875,0.016901018,0.016904747,0.015990617,0.01573976
3878,0.016710726,0.016567286,0.014309451,0.014705324,0.015780724,0.015913658,0.017016731,0.017382213,0.015740948,0.015975475,0.016949558,0.016931617,0.016019583,0.015810628
3876,0.016769767,0.01659563,0.014378966,0.014759009,0.015849259,0.015997093,0.017085369,0.017488511,0.015841052,0.016056374,0.017017486,0.017003355,0.016112327,0.01592042
3874,0.016852471,0.016654406,0.01444897,0.014859342,0.015916579,0.016069795,0.017187156,0.0176012,0.015976255,0.016154258,0.017109616,0.017117557,0.016253013,0.016048531
3872,0.016934104,0.016721049,0.01450262,0.014992075,0.015971012,0.016132873,0.017290726,0.017692932,0.016093001,0.016245053,0.017243221,0.017254421,0.016386065,0.016161039
3870,0.016972891,0.016755808,0.014527037,0.015106674,0.016007773,0.016200342,0.017357652,0.017752953,0.016159763,0.016309906,0.017405898,0.017380958,0.016468995,0.016241147
